derived_msa_md,apps,approvals,approval_rate
10180,3443,1805,0.5242521057217543
10380,676,384,0.5680473372781065
10420,11315,6861,0.6063632346442775
10500,1512,890,0.5886243386243386
10540,1701,1004,0.5902410346854792
10580,11197,6956,0.6212378315620255
10740,16698,10509,0.6293568091987064
10780,1738,887,0.5103567318757192
10900,12650,7610,0.6015810276679842
11020,1137,787,0.6921723834652594
11100,5071,2634,0.519424176690988
11180,1682,1166,0.6932223543400713
11200,1488,952,0.6397849462365591
11244,23203,13487,0.5812610438305391
11260,6884,4354,0.6324811156304474
11460,4407,2797,0.6346721125482188
11500,1725,918,0.5321739130434783
11540,3628,2737,0.7544101433296582
11640,716,413,0.5768156424581006
11694,55549,32693,0.588543448126879
11700,5131,3247,0.632820113038394
12020,2718,1571,0.5779985283296541
12054,98953,52393,0.5294735884712944
12100,4869,2713,0.5571986034093243
12220,3258,2048,0.6286065070595457
12260,11587,6687,0.5771122810045741
12420,56755,30366,0.5350365606554489
12540,12590,7042,0.5593328038125497
12580,47585,26929,0.5659136282441946
12620,2041,1276,0.6251837334639883
12700,2721,1711,0.6288129364204337
12940,13928,7474,0.5366168868466399
12980,2015,1259,0.6248138957816377
13020,1389,966,0.6954643628509719
13140,4899,2685,0.5480710349050827
13220,1124,710,0.6316725978647687
13380,3075,1912,0.6217886178861789
13460,4777,2950,0.6175423906217291
13740,3103,1943,0.6261682242990654
13780,2444,1490,0.6096563011456628
13820,20642,12168,0.5894777637825792
13900,1911,1397,0.7310308738880168
13980,2056,1246,0.6060311284046692
14010,2906,1808,0.6221610461114935
14020,2019,1263,0.62555720653789
14260,17879,11413,0.6383466636836512
14454,23626,14378,0.6085668331499196
14500,4617,2892,0.6263807667316439
14540,2915,1773,0.6082332761578044
14580,1757,1074,0.6112692088787707
14740,4982,3100,0.6222400642312325
14860,11428,7021,0.6143682184109206
15180,4510,2385,0.5288248337028825
15260,1585,993,0.6264984227129338
15380,13115,8820,0.6725123903926802
15500,3341,2174,0.650703382220892
15540,2760,1872,0.6782608695652174
15764,29156,17742,0.6085196871998902
15804,22039,12292,0.5577385543808703
15940,6057,3754,0.6197787683671785
15980,22465,11942,0.5315824616069441
16020,1370,809,0.5905109489051095
16180,863,538,0.6234067207415991
16220,1649,1093,0.6628259551243177
16300,5722,3577,0.6251310730513806
16540,2389,1447,0.60569275847635
16580,2893,1970,0.6809540269616315
16620,2374,1410,0.5939342881213142
16700,22594,12736,0.5636894750818802
16740,59225,35024,0.591371886872098
16820,3499,2006,0.5733066590454415
16860,10550,6277,0.5949763033175356
16940,2474,1537,0.6212611156022635
16984,107652,59731,0.5548526734291978
17020,2288,1397,0.6105769230769231
17140,41225,24304,0.5895451788963008
