state_code,apps,approvals,approval_rate,ci_low,ci_high
WI,77569,53809,0.6936920677074605,0.6904386493843945,0.6969263025099025
ND,10836,7213,0.6656515319306017,0.6567116768711698,0.6744739787159524
IA,51131,33659,0.6582894916977958,0.6541667744850072,0.6623884262001366
MN,93093,60955,0.6547753321946871,0.6517148781885299,0.657823013198973
SD,12488,8099,0.648542600896861,0.6401245801791606,0.6568692627406363
NH,18349,11808,0.6435228077824404,0.6365633232623117,0.6504222103847731
MI,136838,87409,0.6387772402402841,0.6362282645863544,0.6413184243145633
AK,10318,6552,0.6350067842605156,0.6256688550124895,0.6442442231058708
CT,50030,31419,0.6280031980811513,0.6237582294182205,0.6322285112868953
ID,35500,22278,0.6275492957746479,0.6225066255175575,0.6325643647724268
WA,115646,72003,0.6226155681995054,0.6198178066743042,0.6254051840558482
RI,14373,8943,0.6222083072427468,0.6142503821261506,0.6301009248046671
PA,164831,102326,0.6207934187137129,0.6184483421220934,0.6231328651492354
ME,18848,11696,0.6205432937181664,0.6135917958181001,0.6274456651602216
NY,158351,97122,0.6133336701378583,0.6109323680176196,0.6157294736371163
HI,11568,7089,0.6128112033195021,0.603898608782785,0.6216488988708492
NM,30694,18767,0.6114224278360592,0.6059558658494815,0.6168611035187215
MA,86095,52498,0.609768279226436,0.6065050625207955,0.6130217009030767
OR,58591,35614,0.6078407946612961,0.6038805570947784,0.6117868922127011
KS,43406,26345,0.6069437404967055,0.6023395838453567,0.6115289696439934
CO,115226,69808,0.6058354885182163,0.6030104471921324,0.6086534732925292
KY,65641,39755,0.6056428147042245,0.6018980967870092,0.6093751684352108
UT,63387,38246,0.6033729313581649,0.5995584691223735,0.6071748648800334
NC,196918,117841,0.5984267563148112,0.5962596801988049,0.6005899923049236
IN,126031,75303,0.5974958541946029,0.594785462353169,0.6002003028174039
MT,14438,8551,0.5922565452278709,0.5842173053838149,0.6002467054970757
OH,187698,110819,0.5904111924474421,0.5881846736131792,0.5926340106161173
NE,34035,19997,0.5875422359335978,0.5823027286882932,0.5927619839932193
VA,153598,90185,0.5871495722600555,0.5846852070802149,0.5896095783581312
WV,22795,13374,0.5867076113182715,0.5803010658903549,0.5930849373914309
AL,85048,49048,0.5767096228012416,0.5733856521704185,0.5800266640851609
IL,189247,109110,0.5765481090849525,0.5743204325760071,0.5787726780102634
AZ,135420,78048,0.5763402747009304,0.5737063342713637,0.5789698841645687
TN,126126,72324,0.5734265734265734,0.5706948872751699,0.5761537869622201
CA,386421,221265,0.5726008679652503,0.5710403838712498,0.574159908605235
MO,110155,62788,0.5699968226589806,0.5670708311480052,0.5729179323119359
SC,114253,65109,0.5698668743927949,0.5669937759941672,0.5727352747669108
MS,38139,21443,0.5622328849733869,0.5572478526338408,0.567205382060929
NV,59781,33400,0.5587059433599304,0.5547219388317145,0.5626824036191161
MD,104374,58067,0.5563358690861708,0.5533198201627926,0.55934777130718
GA,200043,109379,0.5467774428497872,0.5445951042938574,0.5489579848902696
DE,19996,10832,0.5417083416683337,0.5347949304943476,0.5486057306276109
OK,65631,35488,0.5407200865444683,0.5369052376954215,0.544530168884382
LA,58499,31324,0.5354621446520453,0.5314183901670866,0.5395012420514684
NJ,125883,67189,0.5337416489915239,0.530984888427438,0.5364963502910569
TX,576747,303996,0.5270872670338987,0.525798582701933,0.528375590535456
FL,462751,242180,0.5233484098359593,0.521909190192424,0.5247872418359871
AR,52671,27280,0.5179320688804085,0.5136636199268113,0.5221979023423492
