derived_msa_md,apps,approvals,approval_rate
48680,3406,2310,0.6782149148561363
18880,7798,4427,0.5677096691459349
34940,6775,3772,0.5567527675276753
37460,5347,2947,0.5511501776697213
23540,4781,2614,0.5467475423551559
26140,3976,2167,0.545020120724346
37860,13016,7090,0.5447141979102643
35840,22924,12476,0.5442331181294713
19660,17905,9594,0.5358279810108908
45294,56745,30382,0.5354128117014715
41304,15337,8195,0.5343287474734303
36100,12474,6665,0.534311367644701
39460,6933,3691,0.5323813644886773
15980,22461,11942,0.5316771292462491
48424,23487,12401,0.5279942095627368
27260,41712,21938,0.525939777522056
37340,16643,8748,0.5256263894730517
42680,3565,1868,0.5239831697054699
36740,56834,29780,0.5239821233768519
42700,2016,1052,0.5218253968253969
45220,5976,3107,0.5199129852744311
22744,31467,15816,0.502621794260654
38940,15731,7839,0.4983154281355286
29460,24510,12208,0.49808241534067726
33124,31413,15548,0.49495431827587305
99999,9519,3603,0.3785061456035298
