derived_msa_md,apps,approvals,approval_rate
15260,1583,992,0.6266582438408086
46660,2494,1483,0.5946271050521251
10500,1512,890,0.5886243386243386
19140,1747,1022,0.5850028620492272
42340,8257,4830,0.584958217270195
16860,2805,1634,0.5825311942959002
12020,2716,1570,0.5780559646539027
25980,2976,1695,0.5695564516129032
12260,7425,4210,0.567003367003367
23580,3564,2012,0.5645342312008979
40660,1659,934,0.5629897528631705
31924,30113,16824,0.5586955799820675
47580,4710,2627,0.5577494692144374
99999,22562,12456,0.5520787164258488
31420,3271,1800,0.5502904310608376
17980,3744,2022,0.5400641025641025
12054,98905,52378,0.5295788888327183
