derived_msa_md,apps,approvals,approval_rate
17780,3720,2188,0.5881720430107527
30980,3481,2003,0.5754093651249641
28660,10960,6269,0.5719890510948905
29700,3225,1832,0.5680620155038759
47380,4281,2414,0.5638869423032001
46340,3695,2072,0.5607577807848444
13140,4899,2685,0.5480710349050827
43300,3799,2071,0.5451434588049486
23104,50849,27660,0.5439634997738402
12420,56747,30365,0.5350943662220029
48660,2428,1298,0.5345963756177924
47020,1222,652,0.5335515548281505
21340,14159,7523,0.5313228335334417
45500,1149,610,0.5308964316797214
32580,8494,4503,0.5301389215917118
15180,4510,2385,0.5288248337028825
19124,121164,63840,0.526889175002476
41660,2134,1122,0.5257731958762887
26420,143856,75350,0.5237876765654543
10180,3435,1799,0.52372634643377
18580,7415,3882,0.5235333782872555
33260,5356,2798,0.522404779686333
31180,7402,3848,0.5198594974331262
11100,5069,2634,0.5196291181692642
20580,513,265,0.5165692007797271
41700,63266,32116,0.5076344323965479
36220,3935,1995,0.5069885641677255
99999,35584,17817,0.5007025629496403
