derived_sex,rate_spread
Female,-0.304
Male,-0.525
Female,0.782
Male,0.051
Male,0.502
Male,-1.078
Male,-1.085
Male,0.134
Male,0.265
Male,0.142
Male,0.127
Male,-0.306
Male,-0.043
Female,0.409
Male,-0.575
Male,-0.664
Male,0.17
Male,-0.108
Male,-0.231
Male,0.144
Male,-0.311
Male,-0.72
Male,0.184
Male,0.265
Male,0.31
Female,0.453
Male,0.374
Male,-0.529
Male,0.227
Male,0.3
Male,-0.308
Female,0.459
Male,-0.01
Male,-0.105
Male,0.275
Female,0.175
Male,0.238
Male,0.249
Male,0.023
Male,0.167
Male,0.435
Female,-0.235
Male,-0.254
Male,1.163
Male,0.3
Male,0.439
Male,-0.364
Male,0.195
Male,0.388
Male,0.245
Female,-0.376
Male,-0.168
Male,0.265
Male,-0.118
Female,-0.117
Male,-0.102
Male,0.149
Male,-0.174
Male,0.72
Male,0.06
Male,0.357
Female,0.445
Male,0.012
Male,0.606
Male,-0.829
Male,-0.134
Male,0.256
Male,-1.042
Male,-0.81
Female,-0.47
Male,-0.735
Male,-0.375
Male,-0.439
Female,-0.181
Male,0.581
Male,-0.129
Male,-0.833
Male,-0.375
Male,-0.211
Male,-0.821
Male,-0.3
Male,0.39
Male,-0.235
Male,-0.269
Male,-0.074
Male,-0.94
Male,0.365
Male,0.032
Male,0.445
Male,0.3
Male,-0.11
Male,-0.239
Male,0.41
Male,1.105
Male,0.05
Male,-0.455
Male,-0.301
Male,0.605
Male,0.329
Male,-0.065
Male,0.515
Female,-0.034
Male,0.308
Male,0.3
Male,-0.436
Male,-1.715
Female,0.04
Female,0.275
Male,0.3
Male,0.365
Male,0.101
Male,0.197
Male,0.915
Male,-0.69
Male,0.365
Male,0.046
Female,0.275
Male,-0.493
Male,0.371
Male,-0.16
Male,-0.475
Male,-0.255
Female,-0.815
Female,0.501
Male,-0.255
Female,0.245
Female,0.28
Male,-0.71
Male,-0.095
Male,-0.607
Male,0.036
Male,-0.187
Male,0.977
Male,0.835
Male,0.28
Female,-0.187
Male,-0.18
Female,0.212
Male,-0.69
Male,-0.318
Male,0.828
Male,0.365
Female,-0.243
Male,-0.48
Male,-0.47
Male,0.04
Male,-1.176
Male,0.045
Male,-0.047
Female,0.415
Male,0.088
Male,-0.827
Male,-0.611
Male,0.365
Male,-0.142
Male,-0.006
Male,0.509
Male,0.28
Female,-0.091
Male,-0.481
Female,0.265
Male,0.012
Female,0.447
Female,-0.005
Male,-0.661
Male,-0.45
Male,0.579
Male,0.012
Male,0.06
Male,-1.582
Male,-0.688
Male,-0.427
Male,0.306
Male,-0.365
Male,-0.01
Male,-0.111
Male,-0.076
Male,-0.124
Male,-0.318
Male,-0.312
